Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,3364.2,5293.2,4136.3,3880.9
2,6607.8,10374.2,8257.2,7871.9
3,9479.5,12479.4,11638.0,11228.6
4,12175.9,12746.7,14216.8,14027.4
5,12018.9,12664.2,14104.4,14319.5
6,12005.3,12494.8,13991.0,14276.7
7,11667.7,12303.8,13980.7,14210.8
8,11717.2,12246.4,13853.0,14071.8
9,11693.4,12202.9,13897.4,14033.8
10,11936.9,12156.9,13533.3,13933.2
