Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,2450.4,2602.0,2848.5,2864.9
2,4528.1,4746.5,5218.3,5222.0
3,5961.1,6167.7,6966.9,6925.5
4,6949.1,7138.8,8244.9,8198.2
5,7646.4,7804.5,9089.8,9037.3
6,8192.3,8439.6,9769.0,9730.3
7,8389.2,8582.5,10042.0,10030.9
8,8508.6,8704.8,10262.2,10245.3
9,8593.0,8747.7,10309.7,10300.9
10,8626.4,8785.9,10370.5,10348.9
