Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,637.7,946.4,1515.0,1259.5
2,727.3,334.3,1221.3,936.4
3,738.2,230.6,1086.7,620.1
4,720.0,199.6,1029.7,544.7
5,674.0,192.7,984.6,528.6
6,622.7,193.3,939.4,509.8
7,566.6,195.1,900.2,491.3
8,536.9,196.7,882.3,473.5
9,516.2,198.1,862.3,456.2
10,505.9,199.9,846.6,438.3
11,501.4,212.3,834.0,454.0
12,505.9,210.8,841.7,465.6
13,510.8,206.4,834.0,460.6
14,507.6,203.6,816.6,451.9
15,499.5,204.6,793.0,444.6
16,489.6,206.0,774.2,435.3
17,485.5,206.6,763.9,428.0
18,480.1,207.6,748.0,420.7
19,473.9,208.8,733.6,413.2
20,467.7,209.8,723.5,406.5
