Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,11341.2,11658.0,12809.5,12807.0
2,14071.4,13781.8,16039.6,15913.2
3,13948.6,14053.3,16024.5,16105.0
4,13862.1,14016.5,16013.9,16143.7
5,14006.6,14148.0,16224.1,16151.3
6,14069.2,14064.7,16170.3,16081.7
7,14030.2,13915.7,16060.1,15961.4
8,13994.8,13924.6,15888.6,15869.2
9,14006.6,13989.9,15974.5,16069.7
10,13967.8,13940.4,15988.1,15958.8
