Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,7657.0,7116.6,7886.8,7178.7
2,7521.2,7116.2,7057.9,7205.7
3,10060.9,8685.0,10424.3,9270.3
4,9706.9,9151.5,9981.4,9758.6
5,10352.3,8746.2,10634.5,9505.8
6,9941.3,8258.9,10187.7,9127.8
7,10570.3,9386.1,11136.1,10248.5
8,9989.8,8953.8,10257.8,9970.3
9,9862.1,8613.2,10244.5,9369.1
10,9735.4,8387.1,10081.8,9366.0
11,10079.2,8628.0,10583.6,9528.2
12,10133.8,8885.0,10624.5,9688.5
13,10470.2,9091.7,10971.6,9932.2
14,10211.1,8677.9,10737.6,9636.5
15,10326.5,8901.6,10827.5,9886.3
16,10063.0,8704.9,10510.6,9633.0
17,10087.4,8523.9,10485.6,9520.3
18,10144.9,8742.9,10593.3,9673.7
19,9946.8,8700.3,10559.5,9708.8
20,9672.0,8423.0,10321.2,9456.4
21,10186.0,8817.5,10639.5,9724.9
22,10061.6,8721.2,10665.3,9821.2
23,10359.3,9041.6,10891.8,9988.1
24,10167.5,8896.3,10877.3,9971.5
25,10255.4,9128.9,10792.2,10122.9
26,10171.1,8828.3,10787.2,9994.7
27,10222.6,8855.8,10678.0,9825.7
28,9971.6,8770.6,10555.6,9646.5
29,9999.0,8650.5,10477.1,9558.4
30,10054.8,8555.2,10448.5,9432.7
31,10073.7,8659.2,10554.7,9570.7
32,9975.6,8669.9,10444.0,9549.6
33,10154.7,8783.3,10640.2,9701.9
34,10212.0,8851.3,10644.1,9775.1
35,10250.5,8915.8,10778.2,9889.2
36,10172.9,8812.5,10673.8,9738.4
37,10139.0,8744.6,10607.7,9623.7
38,9383.4,8460.3,10301.9,9277.5
39,10066.7,8509.6,10486.9,9379.9
40,9936.5,8413.0,10408.5,9271.7
