Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,1507.7,1487.8,2457.9,2460.3
2,1442.8,1436.4,2172.3,2192.2
3,1419.5,1412.1,2105.9,2124.1
4,1401.0,1394.8,2058.4,2076.2
5,1382.0,1376.2,2020.5,2036.8
6,1366.0,1361.6,1991.6,2007.1
7,1353.6,1345.2,1962.3,1972.1
8,1336.8,1331.7,1937.2,1945.3
9,1313.3,1309.4,1897.5,1902.9
10,1290.3,1291.0,1853.2,1859.9
11,1259.7,1214.3,1685.7,1661.7
12,1220.3,1036.1,1583.5,1517.6
13,1185.3,792.9,1462.8,1353.5
14,1147.3,639.2,1357.1,1217.9
15,1108.8,550.3,1262.7,1121.1
16,1070.8,501.6,1193.1,1050.0
17,1040.2,465.1,1138.3,989.1
18,1012.6,437.2,1092.7,943.1
19,986.1,415.5,1049.4,898.1
20,962.1,392.6,1015.6,865.4
21,973.0,406.9,1033.9,883.9
22,984.5,422.0,1055.4,906.0
23,991.9,429.7,1071.8,924.4
24,999.0,440.1,1086.3,941.7
25,1001.4,450.9,1094.3,953.2
26,1000.6,460.3,1100.1,962.9
27,1003.6,470.4,1110.4,975.2
28,998.1,480.0,1115.4,985.7
29,1003.1,489.7,1118.3,991.6
30,1001.3,500.0,1122.2,1001.3
31,987.7,496.5,1102.3,977.7
32,978.9,489.2,1085.1,956.3
33,969.6,470.4,1064.7,930.9
34,953.8,450.9,1038.5,904.2
35,935.7,437.1,1012.9,878.8
36,922.8,425.6,991.4,854.3
37,912.2,414.5,970.2,832.7
38,898.6,404.2,952.0,814.7
39,889.0,397.3,932.8,797.3
40,875.9,393.6,916.0,780.2
