Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,7645.2,7102.5,7884.9,7174.4
2,9144.2,7499.9,9119.8,7862.2
3,9391.5,7435.5,9244.5,7829.4
4,9245.9,7350.0,9238.9,7850.1
5,9239.7,7317.7,9182.9,7841.0
6,9184.2,7253.5,9184.4,7817.8
7,9072.6,7139.0,8940.7,7688.6
8,9027.9,7062.3,8980.3,7683.4
9,8999.5,6990.1,8997.8,7673.5
10,8919.5,6916.8,8948.4,7606.3
11,9164.4,7204.4,9221.5,7944.8
12,9347.2,7423.5,9496.6,8224.7
13,9522.4,7691.3,9690.7,8490.3
14,9661.0,7832.2,9887.3,8663.1
15,9781.3,8081.9,10116.4,8919.3
16,9864.3,8226.1,10225.1,9068.2
17,9995.3,8373.8,10398.9,9256.7
18,10037.8,8432.8,10485.5,9404.2
19,10004.9,8499.9,10471.8,9449.8
20,10025.7,8567.7,10579.2,9565.4
