Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,638.7,946.9,1511.9,1260.4
2,547.1,869.7,1394.2,1124.0
3,750.8,230.7,1087.0,614.8
4,681.6,289.2,1130.2,811.6
5,686.4,194.4,982.8,519.6
6,640.2,218.8,1001.6,562.5
7,591.5,195.0,898.7,485.2
8,565.4,214.6,919.6,515.7
9,595.1,204.7,892.9,517.7
10,576.5,203.5,824.5,486.9
11,559.1,203.4,811.0,479.5
12,535.3,203.7,803.8,472.5
13,522.0,204.1,799.7,464.6
14,507.0,204.4,792.7,453.6
15,501.2,205.2,791.9,447.4
16,489.5,206.6,773.7,437.3
17,484.7,206.9,760.2,429.5
18,482.1,207.9,747.3,420.5
19,477.5,208.7,734.3,412.2
20,472.3,209.5,724.3,407.6
