Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,10745.2,10991.8,12191.6,12122.8
2,10538.3,10946.1,11610.2,12061.9
3,12563.3,12031.7,14102.5,14012.4
4,10935.5,12361.4,12630.0,14100.8
5,11729.0,12243.5,14105.9,14048.7
6,11936.1,11800.1,13304.5,13456.8
7,11779.8,11952.2,12996.7,13430.0
8,11888.7,11868.1,13554.4,13596.4
9,11621.1,11849.6,13531.7,13841.4
10,11797.1,12059.6,13224.2,13985.0
11,11480.7,11945.3,13588.3,13892.1
12,11951.9,11890.2,13728.4,13835.7
13,11564.4,11847.6,13458.8,13770.7
14,11235.6,11734.2,12931.3,13502.2
15,11725.9,11859.9,13572.1,13700.3
16,11707.3,11749.8,13555.3,13704.2
17,11718.1,11697.9,13310.3,13573.4
18,11848.8,11803.6,13430.3,13617.9
19,11353.2,11694.8,13135.4,13477.2
20,11389.8,11733.7,13107.5,13481.7
