Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,7655.9,7115.9,7891.6,7180.9
2,9156.8,7508.2,9140.3,7927.6
3,9455.5,7425.0,9221.3,7660.3
4,9276.7,7407.3,9222.6,7702.3
5,9244.1,7350.4,9130.1,7639.1
6,9197.7,7255.2,9147.6,7550.4
7,9114.7,6952.1,8581.1,6786.5
8,9047.0,6943.1,8934.0,7352.4
9,9041.5,6852.1,9008.9,7283.5
10,8917.6,6686.2,8971.8,7197.1
11,8694.4,6633.1,8551.7,7190.8
12,8579.7,6631.7,8752.5,7117.3
13,8738.7,6658.1,8824.0,7154.8
14,8682.1,6509.4,8590.8,7035.7
15,8529.4,6503.1,8638.8,7070.3
16,8633.5,6409.8,8799.0,7003.1
17,8357.4,6357.2,8665.4,6921.6
18,8461.2,6248.6,8608.3,6836.1
19,8006.2,6128.9,8656.8,6765.7
20,7910.7,6076.4,8671.4,6767.2
