Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,1505.8,1481.9,2458.3,2459.3
2,1228.0,1015.3,1677.7,1502.8
3,1276.8,1107.8,1698.4,1577.1
4,1165.5,702.9,1408.8,1222.2
5,1192.3,809.7,1469.6,1301.4
6,1118.8,516.6,1291.1,1106.0
7,1144.6,582.1,1333.1,1162.4
8,1076.9,459.9,1205.3,1023.6
9,1036.3,415.9,1129.7,904.8
10,1056.8,436.1,1151.1,979.9
11,1013.3,408.3,1091.6,892.0
12,974.9,381.0,1049.7,822.8
13,942.4,344.2,1015.6,765.0
14,925.5,323.0,994.8,728.6
15,901.4,307.3,970.6,689.0
16,917.4,330.0,983.1,739.7
17,931.8,353.7,990.7,773.6
18,942.1,367.8,997.7,808.8
19,955.3,382.4,1004.3,836.6
20,961.9,398.5,1016.2,863.8
