Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,1504.9,1487.7,2454.1,2455.7
2,1447.2,1437.5,2469.9,2649.7
3,1420.6,1415.5,2111.6,2131.7
4,1397.9,1394.5,2048.1,2070.8
5,1382.7,1379.0,2022.4,2040.7
6,1384.6,1382.1,2058.8,2090.3
7,1353.2,1349.4,1969.0,1974.6
8,1356.0,1350.9,1986.2,2011.0
9,1343.0,1339.3,1930.6,1941.8
10,1324.1,1319.0,1881.5,1882.8
11,1313.0,1308.9,1853.7,1856.6
12,1299.0,1292.0,1817.4,1821.2
13,1282.9,1276.5,1779.5,1788.0
14,1266.9,1264.0,1755.5,1760.3
15,1260.0,1257.3,1736.4,1740.0
16,1238.2,1238.5,1688.4,1693.8
17,1219.5,1220.4,1646.2,1654.8
18,1203.1,1197.7,1592.8,1599.9
19,1188.6,1194.7,1560.4,1565.6
20,1183.6,1182.1,1533.8,1538.4
