Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,11332.0,11657.0,12811.8,12811.3
2,14085.1,13736.7,16111.3,15974.3
3,13643.4,14232.3,15868.7,16026.8
4,13856.6,13988.3,16004.5,15985.3
5,14041.4,14310.4,16155.2,15817.8
6,13832.7,14032.0,15885.7,15957.3
7,14461.6,13779.7,16197.4,15863.9
8,13890.6,13927.1,15769.0,15702.5
9,13991.2,13964.3,15915.0,15938.6
10,13871.2,13997.1,15960.5,15846.3
11,13626.5,13231.3,15340.9,14990.9
12,13263.8,12644.4,14620.2,14090.8
13,12688.6,12128.9,14006.3,13235.6
14,12647.6,11469.0,13618.1,12815.2
15,12530.6,11287.6,13481.2,12547.6
16,12231.8,10917.0,13140.7,12105.8
17,11996.0,10799.6,12903.2,11863.3
18,11891.0,10668.3,12800.3,11584.9
19,11842.0,10140.1,12484.2,11278.0
20,11436.3,10042.7,12251.0,11080.4
