Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,11342.4,11663.5,12817.5,12808.4
2,11310.0,10463.4,12017.1,11212.6
3,12329.4,11603.4,13411.4,12698.4
4,12127.4,10644.0,12836.8,11668.8
5,12400.8,11173.3,13278.4,12271.7
6,12161.3,10594.5,12775.1,11561.7
7,12241.6,10923.2,12993.8,11980.9
8,11985.2,10519.8,12723.9,11533.6
9,11865.8,10215.5,12427.4,11165.0
10,12069.4,10463.3,12646.1,11489.8
11,11914.9,10194.8,12407.5,11208.7
12,11626.4,9916.2,12156.3,10890.0
13,11592.9,9748.5,12015.7,10751.0
14,11460.2,9469.3,11830.9,10469.4
15,11330.1,9373.3,11756.5,10405.0
16,11502.7,9542.1,11982.6,10617.9
17,11588.2,9710.3,12085.7,10781.7
18,11705.2,9806.1,12257.0,10951.5
19,11674.5,9959.4,12251.6,11068.1
20,11696.3,10016.9,12350.0,11183.0
