Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,639.6,946.4,1517.4,1262.3
2,734.1,337.6,1222.2,938.2
3,746.9,230.7,1089.4,616.3
4,730.1,199.4,1028.9,539.0
5,680.6,192.2,984.9,525.8
6,632.5,192.8,939.2,506.9
7,575.9,194.6,900.2,489.9
8,535.2,196.8,874.2,468.3
9,529.9,197.7,862.8,459.9
10,516.6,198.9,845.7,446.7
