Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,1505.7,1486.6,2452.2,2452.7
2,1445.4,1436.7,2451.9,2641.2
3,1420.5,1416.7,2108.0,2130.8
4,1400.1,1395.1,2048.5,2070.9
5,1383.5,1379.2,2023.7,2040.2
6,1385.2,1381.3,2056.4,2088.5
7,1354.0,1350.5,1969.9,1974.1
8,1355.2,1350.8,1990.2,2011.4
9,1342.1,1339.2,1929.7,1940.8
10,1323.1,1319.7,1879.4,1884.1
11,1311.3,1307.2,1854.2,1856.9
12,1297.7,1292.7,1816.8,1822.8
13,1280.5,1275.6,1781.6,1786.4
14,1266.6,1264.5,1755.7,1759.0
15,1257.6,1257.7,1735.9,1737.6
16,1237.9,1237.9,1688.7,1694.3
17,1218.6,1218.3,1647.1,1649.9
18,1200.4,1198.4,1592.1,1597.1
19,1193.9,1188.7,1561.0,1567.5
20,1183.1,1184.3,1539.6,1539.3
