Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,10741.1,11000.0,12195.3,12127.8
2,10568.7,10960.5,11613.3,12071.2
3,12563.7,12087.0,14078.0,14013.7
4,11446.4,12280.0,13037.8,14073.8
5,11961.4,12209.6,14100.6,14155.4
6,11938.7,11766.3,13398.2,13549.1
7,11735.3,11963.9,13107.0,13417.9
8,11733.0,11871.3,13506.4,13574.4
9,11596.9,11876.4,13420.4,13844.4
10,11397.3,12107.1,13068.0,13985.3
11,11414.5,11893.3,13450.1,13846.5
12,12006.4,11975.4,13678.0,13820.4
13,11624.5,11795.7,13481.9,13759.6
14,11513.4,11712.4,12938.8,13489.1
15,11684.3,11714.5,13444.2,13561.6
16,11843.1,11877.7,13477.6,13658.9
17,11784.1,11680.5,13346.9,13515.9
18,11849.6,11852.0,13458.5,13585.3
19,11499.2,11653.7,13228.1,13436.1
20,11592.7,11700.7,13199.2,13483.8
