Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,7646.1,7111.0,7880.2,7172.0
2,7466.7,7091.4,6823.8,7194.7
3,9453.8,7421.8,9217.0,7664.0
4,8870.4,7274.4,8518.3,7690.1
5,9243.3,7344.8,9115.5,7639.3
6,8698.6,7105.4,8696.0,7358.6
7,9110.2,7022.7,8668.3,6719.8
8,8729.8,6974.7,8749.0,7285.3
9,8706.8,6818.3,8560.7,7221.4
10,8671.7,6735.9,8611.6,7246.2
11,8577.3,6564.2,8567.5,7164.6
12,8729.4,6610.6,8733.5,7130.0
13,8429.4,6447.2,8673.0,7138.3
14,8253.3,6389.9,7860.7,6923.5
15,8518.1,6460.4,8780.9,7049.6
16,8525.0,6367.7,8523.3,7003.5
17,8431.6,6305.4,8625.0,6896.8
18,8513.8,6258.4,8668.0,6883.5
19,8050.2,6135.4,8575.5,6759.3
20,7930.3,6086.2,8653.2,6744.2
