Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,10748.2,10995.9,12182.6,12127.5
2,12284.3,12008.9,13998.7,13922.2
3,12563.4,12089.6,14097.9,14048.5
4,12471.0,12263.4,14211.9,14084.5
5,11853.7,12187.2,14125.5,14063.2
6,12195.1,12184.7,14115.2,14126.1
7,11721.6,11831.9,13081.9,13510.4
8,12044.2,12085.3,13794.8,13763.4
9,12138.1,12177.9,13850.8,13835.4
10,12019.1,11899.2,13759.4,13738.2
11,11669.6,11349.1,12973.4,12707.0
12,11426.2,10854.7,12561.3,12097.1
13,11214.6,10476.3,12176.9,11624.5
14,10995.4,9987.0,11810.1,11082.9
15,10826.2,9729.8,11530.2,10831.4
16,10660.1,9454.8,11270.9,10466.9
17,10504.1,9195.6,11080.8,10201.6
18,10401.4,9033.6,10873.6,9922.6
19,10162.3,8881.2,10661.0,9652.6
20,10054.0,8591.1,10583.0,9477.3
