Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,1508.9,1486.3,2457.5,2464.8
2,1444.9,1438.3,2181.0,2191.8
3,1421.6,1412.3,2104.1,2123.8
4,1403.4,1395.1,2057.9,2078.5
5,1383.8,1374.8,2020.8,2037.0
6,1367.3,1360.1,1994.0,2008.2
7,1354.8,1346.7,1964.6,1972.1
8,1337.4,1334.5,1937.2,1944.5
9,1313.9,1312.1,1899.8,1904.3
10,1295.6,1291.1,1857.2,1860.4
11,1294.2,1287.6,1862.7,1875.7
12,1292.2,1286.9,1829.8,1833.7
13,1281.4,1279.3,1803.6,1813.1
14,1275.8,1271.4,1775.7,1781.1
15,1260.2,1259.3,1749.8,1757.4
16,1240.3,1240.5,1703.3,1707.2
17,1225.0,1220.4,1656.2,1658.6
18,1207.9,1203.7,1619.5,1622.2
19,1190.8,1190.3,1573.4,1572.5
20,1190.8,1193.5,1561.7,1561.7
