Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,3364.1,5294.4,4227.8,4020.3
2,6717.9,10570.4,8402.2,8011.2
3,9945.7,15519.8,12429.3,11729.2
4,13201.0,20666.2,16497.3,15693.9
5,15745.9,19877.0,19295.2,18652.9
6,18862.1,23607.2,23491.1,22328.3
7,21173.3,21765.1,24296.9,23760.2
8,23934.2,23764.9,27283.3,27126.0
9,22027.3,22530.1,24378.4,24332.1
10,22204.1,23413.1,26977.9,27069.7
11,22812.2,22631.8,25375.1,25142.2
12,21477.4,21489.8,24343.0,24354.9
13,20111.9,20212.8,22396.2,22871.3
14,18948.2,19025.5,21529.3,21725.3
15,18169.0,18223.2,20517.0,20685.4
16,18749.6,18739.5,21410.6,21207.4
17,19966.8,19957.6,22660.1,22703.8
18,20838.2,20628.1,23637.6,23659.3
19,22212.9,22207.1,25142.8,25195.5
20,22453.3,23378.8,25333.0,26130.4
