Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,7649.4,7112.2,7882.3,7172.4
2,9159.7,7514.8,9133.8,7993.8
3,9447.2,7415.4,9217.0,7662.0
4,9299.2,7431.1,9228.6,7665.6
5,9236.3,7342.0,9121.1,7650.8
6,9188.7,7261.7,9145.5,7537.3
7,9120.4,6969.5,8694.7,6776.6
8,9083.7,6992.0,8943.7,7383.3
9,9028.0,6865.4,9011.0,7307.1
10,8934.4,6692.8,8932.7,7163.5
11,8671.7,6681.9,8687.3,7182.8
12,8600.5,6605.9,8765.8,7119.2
13,8721.8,6608.1,8814.5,7160.2
14,8671.6,6524.7,8589.6,7061.8
15,8608.8,6507.3,8690.7,7072.9
16,8668.7,6424.8,8782.4,7001.2
17,8628.4,6324.9,8691.3,6923.2
18,8320.0,6228.0,8711.8,6846.0
19,8236.8,6094.0,8666.6,6770.2
20,7795.9,6085.5,8688.8,6753.0
