Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,10744.6,10999.1,12186.0,12126.9
2,12279.3,11848.3,14009.8,13903.7
3,12564.0,12153.7,14135.3,14022.8
4,12446.6,12283.2,14231.2,14119.5
5,11875.1,12219.3,14009.4,14094.3
6,12163.5,12241.9,14129.0,14115.3
7,11849.8,11913.4,13234.4,13580.3
8,11963.2,11968.4,13715.6,13673.7
9,12130.9,12056.8,13775.1,13810.6
10,12046.9,11883.4,13674.9,13671.1
11,11578.0,11801.8,13273.1,13435.1
12,11788.8,11829.6,13413.4,13661.7
13,11858.3,11994.8,13663.9,13780.9
14,11895.5,11955.7,13378.6,13715.0
15,11715.6,11952.2,13460.5,13701.1
16,11919.1,11930.4,13536.5,13700.8
17,11797.9,11954.8,13493.8,13662.8
18,11775.3,11755.4,13389.9,13494.4
19,11352.8,11636.0,13214.6,13441.4
20,11517.3,11662.0,13313.0,13477.9
