Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,7647.3,7115.5,7887.3,7177.3
2,9133.3,7545.5,9107.2,7940.5
3,9448.2,7480.1,9226.9,7662.1
4,9282.7,7417.1,9233.5,7705.8
5,9237.9,7381.3,9127.9,7652.7
6,9197.7,7197.9,9146.1,7530.5
7,9105.4,6975.2,8569.5,6788.2
8,9031.2,6965.1,8942.6,7364.8
9,9023.3,6825.4,8994.8,7296.4
10,8924.6,6698.1,8930.3,7160.4
11,9255.4,7011.5,9265.3,7631.7
12,9437.4,7217.6,9528.2,7964.9
13,9586.4,7565.1,9696.1,8292.2
14,9683.1,7573.8,9830.8,8325.8
15,9819.6,7952.2,10070.9,8668.5
16,9964.1,8140.6,10317.0,8910.9
17,9962.6,8250.0,10322.2,8993.6
18,10066.0,8395.4,10496.8,9249.9
19,10030.9,8492.6,10506.6,9336.5
20,10015.5,8577.6,10571.2,9474.7
21,10013.8,8530.3,10437.6,9384.4
22,9892.7,8326.4,10244.2,9233.2
23,9922.5,8400.5,10298.2,9141.5
24,9654.6,8131.3,10121.6,8885.8
25,9825.3,8067.2,10059.7,8827.6
26,9569.5,7873.2,9990.6,8717.3
27,9695.6,7833.1,10007.6,8626.5
28,9634.8,7708.8,9971.0,8512.6
29,9461.4,7593.3,9845.1,8352.5
30,9506.2,7519.4,9740.4,8284.1
31,9514.0,7615.6,9901.7,8432.0
32,9576.7,7640.4,9866.8,8510.2
33,9706.7,7816.5,10020.8,8691.6
34,9756.6,7903.5,10100.2,8744.0
35,9692.0,7925.9,10112.4,8796.5
36,9817.0,8084.5,10207.8,8926.5
37,9862.3,8170.8,10281.1,9029.3
38,8857.3,7968.8,10094.6,8838.8
39,9981.5,8346.4,10391.5,9192.8
40,9984.0,8414.8,10403.7,9266.7
