Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,641.2,946.1,1515.6,1260.2
2,732.8,336.9,1221.1,937.3
3,744.8,230.7,1092.2,617.9
4,714.1,200.4,1025.4,541.8
5,674.4,192.6,987.5,529.3
6,626.6,193.2,939.6,510.2
7,575.0,194.7,899.6,492.4
8,536.5,196.9,878.5,466.1
9,516.4,197.9,862.1,456.6
10,509.2,199.0,844.8,442.6
11,616.7,220.6,885.8,499.8
12,720.0,242.7,918.2,549.4
13,820.9,265.6,939.5,594.8
14,873.6,288.2,957.8,641.4
15,901.5,309.2,971.4,684.2
16,915.9,331.4,982.9,726.9
17,929.3,355.4,993.4,776.1
18,942.3,370.4,1001.0,812.3
19,953.4,384.8,1006.7,836.0
20,963.2,400.0,1014.9,864.6
