Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,1508.0,1486.7,2457.3,2463.2
2,1444.6,1435.3,2454.5,2624.3
3,1278.4,1113.0,1698.1,1580.8
4,1182.1,950.1,1572.0,1385.6
5,1195.6,811.5,1467.6,1303.0
6,1212.0,1040.9,1573.9,1437.6
7,1063.0,415.0,1176.3,922.9
8,1095.8,603.7,1269.1,1083.2
9,1120.8,489.6,1262.1,1088.6
10,1121.4,696.2,1311.6,1142.3
11,1074.1,456.6,1168.7,1007.3
12,1033.4,425.5,1115.0,946.7
13,995.6,395.7,1060.5,874.1
14,1024.3,443.4,1112.1,957.4
15,997.6,428.0,1078.3,913.3
16,1014.6,446.5,1095.2,937.7
17,1024.9,464.0,1107.2,949.3
18,980.9,421.8,1034.4,871.9
19,949.5,400.3,991.6,824.0
20,957.7,414.2,989.7,842.5
21,941.8,395.9,975.8,819.2
22,924.6,382.1,964.0,795.7
23,909.5,369.6,952.4,773.1
24,894.8,359.6,941.7,756.8
25,884.8,350.6,931.8,744.1
26,893.9,361.1,942.3,763.1
27,903.7,369.9,948.1,779.6
28,910.8,378.6,955.2,801.1
29,917.4,388.3,959.2,816.2
30,922.9,396.1,969.0,824.9
31,909.1,386.7,947.6,807.0
32,894.4,377.6,933.2,782.8
33,879.3,369.4,920.1,763.2
34,868.3,362.3,906.3,739.9
35,857.9,357.1,891.7,718.6
36,863.4,363.7,895.2,735.6
37,866.0,369.4,900.8,744.8
38,870.5,376.1,904.2,757.6
39,876.6,383.0,908.3,772.4
40,874.5,389.5,916.0,780.2
