Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,10748.1,10992.9,12197.2,12122.1
2,12297.2,11937.0,14037.1,13905.2
3,12521.6,12048.4,14201.4,14088.8
4,12531.0,12213.4,14252.5,14144.4
5,12048.8,12194.4,14079.5,14101.6
6,12179.5,12163.5,14113.4,14131.2
7,11732.6,12023.2,13173.3,13552.1
8,11970.3,12027.3,13739.8,13752.3
9,12087.6,12122.5,13800.6,13857.1
10,12069.9,11969.1,13639.5,13667.6
11,11573.2,11327.7,12953.4,12718.6
12,11445.8,10753.5,12557.6,12092.4
13,11196.4,10415.1,12104.4,11562.7
14,10996.1,10005.2,11797.4,11127.2
15,10821.3,9748.7,11550.0,10803.8
16,10684.1,9479.3,11287.5,10474.8
17,10522.0,9225.4,11086.3,10162.2
18,10378.0,9006.2,10886.6,9942.9
19,10179.5,8866.2,10660.2,9638.7
20,10066.8,8588.1,10588.1,9454.8
21,10287.8,8676.5,10769.2,9693.1
22,10262.7,8780.9,10731.5,9863.2
23,10350.4,8937.9,10868.1,10016.0
24,10231.0,8998.7,10865.2,10040.7
25,10409.1,8901.0,10956.6,10063.6
26,10445.1,9097.2,10999.6,10237.6
27,10521.5,9325.0,11160.4,10357.5
28,10589.2,9377.0,11183.4,10419.0
29,10543.2,9407.3,11251.0,10484.8
30,10619.8,9482.7,11301.6,10559.1
31,10502.1,9395.9,11143.0,10403.9
32,10294.5,9190.3,10917.4,10191.3
33,10404.8,9144.8,10954.2,10139.3
34,10345.6,9016.5,10838.4,10001.0
35,10046.8,8830.6,10694.4,9777.3
36,10163.3,8787.3,10651.1,9730.3
37,10110.1,8724.6,10598.6,9608.8
38,9160.0,8285.6,10153.0,9197.1
39,9981.7,8471.4,10460.1,9350.2
40,9968.2,8381.9,10373.4,9253.9
