Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,7643.9,7112.5,7881.2,7172.8
2,9161.4,7535.4,9136.7,7920.2
3,9454.3,7457.8,9222.2,7663.6
4,9291.8,7451.0,9225.5,7676.1
5,9236.5,7341.7,9129.3,7651.0
6,9191.8,7262.6,9142.2,7543.5
7,9125.8,6907.8,8587.4,6689.6
8,9091.8,6995.2,8976.2,7355.5
9,9036.8,6828.3,9000.1,7289.8
10,8911.9,6701.1,8934.5,7167.0
11,8667.9,6620.5,8656.7,7193.9
12,8667.7,6599.9,8756.0,7121.8
13,8759.7,6650.0,8779.0,7157.7
14,8689.3,6533.7,8550.7,7027.9
15,8615.0,6535.6,8578.7,7083.1
16,8724.4,6384.0,8775.1,7006.7
17,8655.3,6344.6,8624.3,6922.8
18,8503.0,6245.4,8643.8,6832.3
19,8218.0,6165.9,8648.2,6761.6
20,8287.4,6116.1,8504.8,6756.2
