Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,11341.9,11666.4,12818.4,12808.1
2,11206.0,10425.9,11949.9,11236.3
3,12108.4,11907.3,13311.7,12555.1
4,12012.3,10570.8,12744.9,11759.1
5,12270.7,10601.0,13128.2,12692.2
6,12013.1,10499.9,12538.1,11317.5
7,13389.1,10701.6,13459.5,11425.5
8,11987.6,10430.7,12584.8,11403.5
9,11676.4,10094.3,12240.6,11040.0
10,11927.1,10572.9,12633.9,11366.5
11,11667.8,10124.8,12304.4,11128.2
12,11301.7,10234.2,12089.8,10770.6
13,11307.4,9810.8,11928.3,10711.1
14,11257.5,9418.5,11781.2,10479.2
15,11403.1,9318.5,11725.9,10402.8
16,11315.4,9620.1,11862.0,10469.8
17,11552.2,9696.0,12009.7,10788.5
18,11520.7,9787.6,12181.6,11091.2
19,11697.5,10063.3,12337.2,11152.1
20,11688.3,10103.1,12394.3,11208.9
