Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,640.1,945.3,1515.3,1259.7
2,1230.2,1018.9,1675.7,1507.6
3,1112.6,509.5,1359.4,1126.6
4,1168.2,703.0,1414.1,1227.9
5,1092.4,423.1,1262.3,963.8
6,1122.2,515.8,1294.4,1099.4
7,1062.6,414.0,1185.7,919.7
8,1085.0,460.8,1214.7,1016.8
9,1111.7,501.6,1243.4,1071.7
10,1056.5,439.8,1151.9,977.5
11,1076.1,465.0,1178.7,1011.1
12,1089.0,490.4,1201.3,1042.7
13,1097.4,514.5,1219.1,1067.9
14,1104.6,536.0,1246.3,1098.0
15,1106.4,554.9,1266.9,1121.1
16,1071.0,506.1,1193.9,1049.7
17,1036.2,469.8,1134.3,988.4
18,1006.1,444.0,1089.3,936.8
19,988.3,420.8,1050.9,899.7
20,962.0,400.4,1015.9,864.8
