Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,7646.1,7111.2,7881.6,7173.0
2,7531.6,7097.7,6835.9,7198.8
3,9453.5,7423.9,9218.8,7649.6
4,8870.2,7238.5,8454.5,7690.4
5,9231.7,7370.8,9117.4,7634.9
6,8691.6,7109.1,8697.6,7367.8
7,9126.9,7003.0,8577.4,6703.1
8,8741.3,6948.1,8737.4,7277.0
9,8575.2,6816.8,8454.8,7201.2
10,8529.8,6745.3,8373.9,7224.0
11,8474.6,6574.3,8577.6,7167.4
12,8698.2,6633.5,8785.1,7135.2
13,8328.2,6469.7,8662.6,7141.8
14,8069.7,6393.6,8002.2,6893.5
15,8494.0,6463.9,8697.9,7034.1
16,8544.8,6392.0,8635.6,6981.3
17,8398.8,6298.0,8729.8,6902.7
18,8577.8,6267.3,8597.1,6884.9
19,8184.8,6141.8,8674.1,6770.4
20,7889.9,6088.5,8576.4,6752.1
