Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,639.4,945.3,1513.8,1259.0
2,539.0,866.5,1393.8,1121.6
3,745.9,230.8,1088.3,619.6
4,678.6,283.7,1127.9,805.3
5,684.7,192.2,984.8,526.6
6,637.5,218.1,1002.3,577.3
7,585.2,194.6,901.9,490.2
8,566.3,214.2,923.8,521.4
9,593.7,204.1,892.5,522.1
10,579.8,202.6,825.3,488.6
11,558.9,202.9,813.0,481.3
12,536.2,203.4,806.6,472.4
13,522.3,203.9,801.9,462.6
14,505.7,204.1,794.7,452.1
15,500.0,205.0,789.5,446.7
16,490.5,206.5,772.3,437.8
17,487.2,207.4,762.1,430.9
18,477.1,208.6,748.4,420.1
19,477.8,208.9,734.8,412.6
20,469.5,209.9,723.6,405.8
