Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,640.2,946.8,1512.6,1260.1
2,737.3,339.6,1221.3,938.7
3,746.9,230.7,1086.0,617.3
4,703.8,199.6,1016.1,548.8
5,685.1,193.0,982.9,522.9
6,633.2,193.6,937.2,504.6
7,571.1,195.6,899.6,485.5
8,537.3,197.5,879.1,471.1
9,517.1,198.6,862.4,454.3
10,508.1,199.6,846.0,443.1
11,491.4,212.3,833.0,451.7
12,509.8,211.7,841.1,469.4
13,512.3,206.8,833.3,463.7
14,506.5,204.4,815.7,454.2
15,500.5,205.3,792.7,445.9
16,492.7,206.2,773.6,436.9
17,491.9,206.9,762.6,428.6
18,484.3,207.5,748.3,421.7
19,475.1,208.9,733.6,413.3
20,470.5,209.2,723.4,406.6
