Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,639.5,944.8,1517.4,1259.3
2,545.3,867.6,1394.0,1121.3
3,1110.3,505.4,1360.2,1127.1
4,1182.3,950.1,1581.8,1386.2
5,1099.0,422.5,1262.2,965.0
6,1024.1,329.1,1162.9,837.4
7,1143.8,571.2,1330.7,1160.5
8,1094.4,604.2,1279.0,1084.7
9,1055.1,462.0,1188.0,1004.1
10,992.0,391.9,1118.8,860.6
11,1004.1,447.9,1120.8,898.2
12,1047.4,463.1,1155.2,989.9
13,1044.9,449.3,1126.9,966.9
14,1013.6,425.3,1089.8,929.5
15,1028.7,444.6,1115.2,953.5
16,1010.0,444.5,1096.7,939.4
17,981.9,424.0,1060.3,897.5
18,989.4,439.8,1052.6,899.8
19,995.5,448.4,1051.4,899.1
20,953.7,420.7,989.9,840.7
21,967.7,433.7,1008.3,861.3
22,976.7,446.1,1028.4,879.9
23,983.6,457.7,1042.5,898.1
24,989.4,469.6,1057.9,916.0
25,995.5,479.3,1072.1,932.5
26,981.3,457.9,1049.3,906.4
27,965.7,440.2,1024.8,883.3
28,949.6,425.2,1004.2,861.8
29,936.2,412.4,985.7,841.4
30,922.6,401.2,967.6,825.4
31,923.8,409.0,977.1,835.1
32,927.7,417.5,987.1,845.9
33,930.3,423.9,995.2,856.5
34,936.5,431.7,1004.5,867.3
35,935.5,438.3,1015.3,878.7
36,922.0,428.2,990.9,854.0
37,911.4,417.5,970.9,833.4
38,899.6,408.0,949.8,813.8
39,884.5,400.1,931.9,796.3
40,875.3,392.1,916.5,780.5
