Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,1506.9,1487.3,2453.5,2460.6
2,1442.0,1439.5,2172.4,2192.1
3,1419.1,1415.9,2104.2,2124.9
4,1401.7,1396.0,2057.5,2079.4
5,1382.1,1378.2,2021.3,2037.3
6,1367.2,1362.0,1993.8,2005.5
7,1350.7,1349.6,1962.1,1972.7
8,1336.6,1333.0,1935.4,1943.8
9,1315.8,1312.4,1898.8,1900.9
10,1295.4,1292.2,1856.0,1857.0
11,1295.6,1292.2,1861.5,1874.2
12,1291.7,1285.6,1825.1,1830.4
13,1280.6,1280.1,1807.7,1811.3
14,1275.7,1271.7,1775.0,1780.5
15,1261.6,1260.2,1748.1,1750.5
16,1241.3,1241.8,1705.3,1712.9
17,1224.3,1224.9,1656.6,1656.7
18,1211.1,1203.4,1618.3,1619.1
19,1192.4,1193.8,1576.0,1571.0
20,1188.1,1186.1,1559.0,1572.6
