Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,8121.6,8256.7,9056.7,8951.4
2,12699.6,12775.8,14846.7,14763.8
3,14504.3,14494.4,17258.4,17266.3
4,15047.4,14908.5,17845.5,17862.3
5,15049.6,14888.3,17836.7,17846.1
6,14926.3,14780.9,17727.5,17764.4
7,14831.1,14718.2,17684.9,17720.4
8,14777.1,14687.6,17628.9,17660.2
9,14768.0,14666.9,17593.5,17632.0
10,14703.4,14629.5,17544.8,17579.9
11,15726.4,15441.2,18612.0,18493.8
12,15835.9,15453.0,18748.7,18971.3
13,16166.5,15805.3,19052.6,19136.6
14,16450.6,16086.7,19352.8,19401.8
15,16519.4,16270.6,19455.6,19568.0
16,16800.9,16654.8,19831.4,20036.1
17,17032.1,16997.6,20110.8,20366.9
18,17292.0,17295.8,20386.1,20643.2
19,17561.4,17589.2,20615.3,20900.6
20,17870.3,17844.4,20895.0,21125.1
