Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,3363.6,5293.5,4227.5,4023.6
2,6657.2,10333.9,8309.3,7888.1
3,8693.9,11602.9,10497.4,10152.3
4,11950.3,11791.9,13494.7,13246.8
5,12028.0,11869.6,13459.5,13429.8
6,11929.3,11908.0,13505.2,13409.9
7,11304.1,11439.8,12839.0,13243.3
8,11772.6,11833.4,13374.9,13293.4
9,11707.6,11798.8,13343.6,13574.5
10,11761.3,11788.5,13422.0,13359.7
11,12941.5,13014.6,14255.3,14695.9
12,14067.6,14233.6,16071.5,16237.6
13,15283.5,15330.7,17448.7,17653.7
14,16405.0,16585.0,18812.3,19026.6
15,17609.7,17776.4,19986.0,20402.4
16,15691.0,15133.0,18796.8,18117.9
17,20078.0,20150.4,22783.8,23129.4
18,21343.8,21288.8,24235.6,24331.4
19,22444.8,22335.2,25692.3,25788.4
20,23607.9,23571.0,26834.0,26521.7
