Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,1512.7,1491.4,2454.8,2455.7
2,1231.0,1020.5,1678.8,1506.7
3,1280.0,1115.9,1700.3,1582.3
4,1168.0,706.3,1409.5,1226.6
5,1197.0,814.7,1470.6,1311.7
6,1124.6,518.5,1303.5,1111.2
7,1148.0,581.7,1337.0,1162.9
8,1094.3,457.6,1218.4,1028.3
9,1036.5,415.1,1133.7,902.5
10,1059.3,436.1,1152.0,977.3
11,1013.9,407.2,1091.9,890.0
12,976.7,378.6,1049.8,821.7
13,946.4,344.5,1015.2,765.2
14,925.5,322.3,994.8,724.5
15,901.6,307.1,970.0,684.8
16,915.9,329.5,981.8,735.0
17,930.9,353.0,989.6,771.4
18,941.8,367.3,995.5,807.5
19,954.7,382.4,1004.1,835.8
20,961.9,397.6,1014.6,862.0
