Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,7238.1,6113.1,5958.8,6219.7
2,11978.1,10644.7,11509.1,12046.7
3,14044.8,12981.4,15139.5,15782.6
4,14839.6,14301.3,16896.4,17310.3
5,14997.1,14722.0,17343.2,17737.5
6,14940.0,14795.8,17513.4,17735.1
7,14139.3,13780.6,16594.4,16579.6
8,14181.0,13783.1,16812.4,16797.0
9,14229.2,13822.5,16768.6,16802.8
10,14295.0,13806.7,16721.0,16808.7
11,15245.8,14545.9,17698.1,17680.2
12,15475.0,14822.8,17973.5,18062.5
13,15717.9,15088.8,18226.9,18393.9
14,15960.4,15356.9,18482.8,18681.4
15,16221.1,15631.7,18797.3,19034.5
16,16524.1,15946.6,19088.4,19347.5
17,16685.8,16281.7,19310.3,19661.2
18,16816.3,16459.4,19435.2,19928.9
19,17164.3,16916.0,19811.4,20264.8
20,17396.8,17102.0,19949.1,20324.4
