Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,1507.7,1487.4,2453.3,2453.6
2,1446.5,1440.8,2172.4,2190.0
3,1422.9,1416.7,2111.7,2132.4
4,1387.4,1385.2,2050.1,2072.6
5,1381.7,1378.8,2024.5,2041.3
6,1366.6,1364.0,1998.0,2009.9
7,1354.8,1348.5,1967.0,1975.1
8,1335.4,1335.8,1936.5,1941.7
9,1314.8,1315.7,1896.8,1905.4
10,1290.6,1295.9,1854.3,1853.6
