Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,3363.2,5288.8,4209.4,4022.4
2,6533.4,10321.0,8406.5,7712.2
3,8533.6,13100.3,11665.0,11804.2
4,13186.3,20510.7,16491.6,15737.8
5,15755.1,20066.5,19081.2,18644.1
6,18874.2,24031.9,23397.6,22385.5
7,21030.2,21941.3,24435.7,23815.9
8,23854.3,23933.8,27421.4,27073.1
9,22904.9,22822.3,25036.8,24139.3
10,23893.1,23837.9,27314.7,26918.5
11,22952.9,22906.9,25471.5,25019.0
12,21793.3,21545.9,24680.7,24200.1
13,20552.6,20282.7,23033.5,22994.5
14,19252.3,19293.6,21897.2,21269.6
15,18517.8,18305.0,20801.6,20881.6
16,18829.8,18968.8,21400.5,21041.6
17,20231.1,19845.0,22929.9,22828.7
18,21479.7,21293.0,24266.4,24029.8
19,22576.9,22373.6,25389.0,25373.5
20,23527.0,23542.3,26773.7,26292.2
