Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,640.3,946.6,1513.7,1261.2
2,740.2,339.7,1221.8,939.9
3,750.7,230.8,1086.6,616.6
4,700.7,199.5,1015.7,550.2
5,680.3,193.0,980.9,522.2
6,633.1,193.7,938.0,504.9
7,578.3,195.4,899.0,486.8
8,535.2,197.3,879.4,471.1
9,516.3,198.9,862.8,456.3
10,511.3,199.9,846.0,443.7
11,496.1,212.0,832.6,453.6
12,509.9,211.8,840.4,470.0
13,513.2,206.9,833.7,463.6
14,508.3,204.0,815.1,454.1
15,503.2,205.0,792.7,445.9
16,492.1,206.5,774.3,437.9
17,490.5,207.1,762.4,431.4
18,482.0,208.0,748.4,422.0
19,473.9,209.0,734.1,412.9
20,474.1,209.6,724.4,408.2
