Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,10744.3,10992.3,12179.3,12124.0
2,12305.1,12012.6,14034.2,13934.2
3,12567.9,12130.1,14178.4,14017.1
4,12505.4,12334.5,14238.6,14161.1
5,11876.9,12248.7,14194.7,14071.2
6,12160.4,12207.8,14073.8,14135.0
7,11646.1,11828.3,13045.4,13494.8
8,12071.3,12121.2,13849.8,13764.9
9,12172.5,12140.2,13821.9,13830.3
10,12083.0,11958.3,13731.5,13768.7
11,11820.2,11865.6,13401.5,13461.7
12,11778.3,11860.7,13455.6,13681.6
13,11902.8,11928.2,13730.3,13774.1
14,11899.0,11943.1,13492.5,13676.0
15,11820.1,11977.1,13466.4,13760.0
16,11983.1,12012.3,13643.8,13715.0
17,11758.5,11940.6,13530.6,13686.2
18,11779.7,11738.0,13415.7,13502.8
19,11480.7,11665.7,13269.0,13464.6
20,11075.3,11689.0,13297.3,13496.2
