Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,7654.8,7100.8,7888.8,7176.5
2,9114.0,7447.1,9098.3,7855.5
3,9392.7,7420.1,9247.5,7900.2
4,9227.2,7339.9,9217.8,7849.1
5,9237.3,7310.9,9182.1,7849.3
6,9183.5,7239.3,9185.4,7820.7
7,9081.1,7120.5,8966.9,7610.6
8,8989.4,7049.3,8971.4,7688.3
9,9002.8,6997.4,9007.4,7670.0
10,8908.4,6905.5,8955.6,7618.3
