Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,638.3,943.3,1524.1,1258.7
2,727.9,335.7,1224.2,937.0
3,739.7,230.5,1092.6,618.2
4,722.4,199.3,1031.1,544.0
5,671.9,192.4,985.4,527.2
6,627.4,192.9,940.4,508.7
7,575.4,194.7,900.3,490.9
8,540.9,196.7,880.2,467.9
9,524.9,197.7,861.9,459.5
10,512.7,198.8,845.6,444.8
11,622.4,219.9,885.3,503.8
12,721.1,242.3,916.5,553.4
13,842.7,264.4,938.3,598.1
14,875.6,287.0,957.1,643.8
15,901.3,307.5,971.0,686.5
16,915.0,331.4,983.4,729.2
17,929.5,354.0,993.6,774.6
18,943.0,368.3,1001.8,810.1
19,953.0,383.7,1007.1,835.4
20,960.9,400.1,1016.2,864.7
