Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,3362.8,5269.6,4197.1,3999.3
2,6610.5,10406.2,8292.6,7923.0
3,9465.7,12533.0,11745.8,11205.0
4,10743.7,11442.8,12827.6,11782.0
5,12177.5,12678.6,14345.7,14379.0
6,11909.6,12507.6,14117.7,14322.6
7,11734.9,12416.0,14036.4,14177.7
8,11653.3,12214.0,13826.6,14033.2
9,11867.9,12225.8,13876.7,14028.7
10,11713.7,12118.7,13817.9,13919.5
