Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,1507.0,1487.9,2449.1,2447.4
2,1444.1,1440.1,2167.9,2182.8
3,1419.5,1415.4,2108.7,2128.4
4,1387.6,1385.0,2049.4,2070.7
5,1382.1,1379.8,2025.7,2038.4
6,1365.6,1365.1,1996.5,2006.5
7,1352.0,1349.9,1967.2,1974.8
8,1333.9,1330.5,1936.4,1940.5
9,1317.7,1313.7,1898.9,1905.5
10,1291.9,1292.8,1852.7,1855.1
11,1294.8,1291.9,1858.4,1869.3
12,1290.5,1289.1,1819.8,1828.3
13,1281.9,1279.7,1797.2,1807.1
14,1270.9,1268.1,1769.6,1783.0
15,1258.0,1256.9,1742.5,1745.9
16,1238.5,1239.1,1688.2,1691.7
17,1223.8,1221.8,1648.0,1654.7
18,1201.9,1202.2,1592.3,1597.6
19,1187.9,1189.0,1565.7,1565.5
20,1184.6,1185.6,1534.8,1537.4
