Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,3365.1,5289.0,4130.9,3957.1
2,6711.3,10484.4,8365.4,7994.2
3,9856.8,15359.8,12327.9,11784.3
4,13250.9,19890.6,16555.1,15774.2
5,15761.1,20428.0,19533.8,18647.3
6,18875.0,23524.3,23535.4,22450.2
7,21535.8,21846.5,24750.4,24428.7
8,21599.5,19350.0,22544.1,24558.7
9,22153.3,22191.7,24207.7,24452.4
10,23230.1,23677.7,27096.6,27469.7
11,23170.6,22573.7,25514.5,25179.4
12,21801.6,21467.6,24506.1,24586.6
13,20387.4,20134.6,22499.9,22931.2
14,18105.3,18867.9,20380.9,19476.7
15,20429.3,18681.5,23443.9,21799.4
16,18788.4,18513.4,21259.4,21356.9
17,20068.3,19801.7,22566.8,22783.4
18,21348.7,20922.4,23690.3,23754.6
19,21982.8,22259.4,24606.8,25479.3
20,22343.9,23232.2,26073.6,26639.7
