Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,10745.9,10994.7,12177.2,12129.2
2,9910.7,9244.7,10595.5,9675.9
3,10650.1,10180.7,11649.1,11009.1
4,10533.3,9264.4,11054.9,10044.3
5,10774.3,9710.7,11398.8,10596.4
6,10594.0,9132.7,11011.0,10014.8
7,10626.6,9469.4,11155.8,10256.7
8,10387.1,9035.7,10957.6,9881.3
9,10211.3,8748.8,10753.4,9513.2
10,10361.9,8819.1,10862.1,9753.6
11,10248.1,8760.9,10663.8,9476.2
12,10045.1,8493.6,10458.6,9145.4
13,9978.6,8264.3,10297.5,9021.3
14,9867.2,7994.0,10137.4,8735.1
15,9800.6,7911.4,10078.5,8589.6
16,9894.7,8082.6,10252.1,8864.3
17,9987.6,8267.2,10377.6,9047.8
18,10075.1,8325.9,10453.0,9174.6
19,10076.6,8504.6,10421.2,9283.4
20,10127.4,8614.3,10584.4,9469.5
