Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,10743.2,10993.8,12196.2,12124.7
2,12310.3,11846.0,14026.4,13889.9
3,12575.4,12062.5,14090.0,14024.5
4,12526.7,12320.9,14261.7,14166.1
5,12179.5,12221.9,14091.2,14071.5
6,12138.5,12153.5,14183.6,14100.6
7,11838.8,11928.6,13318.8,13485.5
8,12053.6,12065.9,13879.4,13834.4
9,12200.7,12069.0,13819.3,13806.1
10,12071.0,11807.1,13743.2,13738.7
11,11814.5,11823.7,13186.2,13461.4
12,11722.2,11872.1,13420.9,13650.9
13,11839.7,11888.3,13733.9,13778.6
14,11884.3,11944.8,13531.9,13735.2
15,11616.3,11952.4,13477.3,13747.2
16,11994.9,11947.8,13638.5,13718.4
17,11895.1,11976.6,13516.1,13691.0
18,11822.9,11761.1,13429.1,13508.4
19,11578.0,11616.9,13277.7,13462.5
20,11137.6,11729.9,13326.8,13501.1
