Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,1508.0,1487.4,2456.5,2456.8
2,1446.5,1436.8,2500.3,2639.0
3,1418.9,1412.3,2107.9,2124.0
4,1399.2,1390.6,2051.6,2074.9
5,1382.1,1375.2,2023.4,2037.4
6,1381.8,1372.4,2046.3,2075.9
7,1352.2,1346.1,1964.0,1971.2
8,1356.7,1348.3,1993.9,2008.0
9,1343.4,1336.3,1927.6,1939.5
10,1325.5,1318.2,1877.9,1880.7
11,1313.5,1305.7,1851.2,1855.1
12,1297.1,1290.5,1817.7,1821.2
13,1284.3,1277.6,1791.7,1795.4
14,1266.7,1265.5,1761.7,1768.8
15,1257.7,1253.6,1743.3,1746.9
16,1236.6,1235.9,1694.9,1701.9
17,1217.6,1217.1,1650.2,1651.1
18,1198.1,1203.2,1605.6,1610.7
19,1189.5,1188.5,1563.8,1576.5
20,1187.0,1187.9,1555.4,1583.4
