Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,1509.4,1474.3,2458.3,2446.6
2,1447.6,1427.6,2180.6,2185.4
3,1428.6,1407.1,2125.9,2124.4
4,1399.9,1380.3,2063.6,2069.2
5,1389.8,1374.2,2034.3,2036.3
6,1375.7,1360.9,2005.1,2007.5
7,1360.6,1347.0,1975.3,1977.1
8,1342.0,1333.1,1945.1,1945.8
9,1324.9,1317.5,1909.1,1910.6
10,1301.4,1298.7,1864.3,1868.7
11,1267.9,1218.7,1697.5,1672.0
12,1228.8,1044.5,1596.9,1520.7
13,1187.0,795.7,1468.6,1355.7
14,1142.8,644.3,1348.7,1215.4
15,1111.1,554.6,1263.8,1123.0
16,1074.2,504.2,1194.8,1044.6
17,1038.9,468.1,1135.5,984.9
18,1011.6,441.0,1088.2,936.0
19,986.1,419.1,1048.8,896.0
20,962.1,398.4,1015.1,863.1
