Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,641.1,944.1,1509.9,1256.9
2,753.9,339.0,1219.6,935.9
3,765.6,230.4,1085.0,615.5
4,747.2,199.2,1016.3,548.8
5,698.3,192.3,981.7,523.1
6,650.9,193.0,935.8,504.0
7,586.0,194.5,898.2,487.8
8,550.5,196.4,878.3,475.7
9,529.4,197.7,861.6,459.3
10,523.7,198.3,844.9,448.5
