Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,3365.5,5269.9,4198.8,3998.8
2,6675.0,10418.4,8272.0,7884.5
3,9484.1,12459.0,11793.0,11194.3
4,10561.2,11330.1,12408.2,11484.8
5,12145.4,12631.2,14317.2,14014.6
6,11962.8,12493.1,14214.5,14296.9
7,11739.7,12303.9,13937.7,14180.9
8,11499.8,12187.7,13776.3,14059.3
9,11790.6,12197.4,13805.9,14002.9
10,12170.4,12144.8,13743.8,13891.7
11,12654.7,13301.7,15085.2,15233.5
12,13875.8,14569.3,16454.4,16673.0
13,14905.5,15749.3,17740.7,18029.8
14,16094.4,16762.2,19105.1,19406.5
15,17457.2,18232.4,20541.6,20759.3
16,18650.4,19360.4,21855.5,22243.6
17,18869.0,18480.0,20737.6,22225.9
18,20818.2,21954.5,24856.1,24993.5
19,21899.4,22892.2,25811.4,26345.6
20,23122.7,23163.0,26543.4,26659.8
