Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,1507.0,1486.7,2458.0,2455.7
2,1446.2,1441.8,2167.9,2186.4
3,1419.6,1416.2,2109.1,2130.2
4,1389.2,1384.4,2051.9,2071.3
5,1382.1,1378.8,2023.4,2039.0
6,1366.5,1364.1,1996.3,2008.2
7,1354.0,1350.0,1967.5,1976.8
8,1334.7,1332.7,1935.5,1944.6
9,1316.7,1313.3,1898.8,1905.2
10,1292.6,1293.0,1852.2,1853.7
11,1295.4,1292.3,1860.5,1871.5
12,1289.6,1288.6,1820.8,1826.7
13,1282.6,1280.9,1797.5,1806.0
14,1270.0,1269.6,1772.4,1780.3
15,1259.1,1254.8,1739.7,1747.7
16,1241.3,1238.2,1695.4,1692.7
17,1223.7,1221.7,1649.3,1655.4
18,1202.5,1202.0,1593.5,1597.4
19,1188.7,1189.7,1561.2,1565.7
20,1185.5,1183.9,1535.1,1536.5
