Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,639.7,945.0,1514.4,1258.5
2,731.7,334.4,1222.8,937.2
3,740.3,230.6,1087.7,620.6
4,722.7,199.7,1029.7,549.1
5,675.7,192.9,984.3,528.0
6,624.7,193.4,940.0,510.2
7,563.5,195.0,902.0,490.1
8,537.1,196.9,882.6,473.9
9,516.0,198.0,862.2,456.0
10,502.1,199.7,846.0,440.5
11,615.2,220.8,886.9,499.1
12,716.8,243.1,917.6,548.0
13,823.0,265.1,939.3,594.2
14,880.7,287.5,959.1,641.9
15,898.3,307.2,970.6,682.9
16,913.7,330.1,983.5,728.0
17,928.7,354.0,994.7,776.6
18,941.9,367.2,1001.2,813.1
19,954.2,382.0,1006.6,837.6
20,959.9,399.4,1016.3,865.6
21,944.8,401.6,1001.9,852.9
22,934.4,394.9,998.1,840.3
23,920.3,378.3,984.6,809.6
24,903.8,364.0,966.1,770.3
25,884.6,350.9,940.4,738.4
26,870.3,339.8,919.1,709.4
27,855.8,331.5,905.5,684.2
28,841.9,324.0,885.8,659.7
29,830.6,317.8,867.5,636.4
30,820.0,312.3,854.7,616.0
31,828.0,322.4,863.3,636.8
32,834.4,333.1,873.9,660.3
33,846.5,344.8,881.8,681.6
34,853.4,352.0,887.0,701.2
35,856.1,359.7,892.0,724.2
36,860.2,366.8,896.4,735.8
37,863.8,373.1,901.5,745.4
38,868.9,379.2,905.6,758.7
39,871.4,388.6,911.6,772.8
40,874.3,392.1,916.1,780.5
