Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,640.8,946.5,1514.3,1259.8
2,548.8,869.3,1394.1,1123.1
3,752.5,230.9,1084.0,617.7
4,680.0,289.0,1129.5,811.0
5,695.1,192.6,982.8,520.2
6,641.5,218.7,1001.6,563.0
7,592.8,194.9,899.3,485.7
8,572.8,214.8,920.4,515.8
9,598.6,204.5,891.3,518.6
10,577.7,203.3,824.5,487.5
11,558.4,203.3,811.5,479.9
12,540.0,203.7,804.3,472.3
13,524.0,204.0,800.0,464.2
14,510.3,204.4,793.4,454.3
15,507.1,205.0,792.4,447.4
16,491.3,206.7,774.0,437.4
17,488.5,206.9,760.2,430.6
18,482.8,208.0,747.8,420.8
19,477.7,208.5,735.0,413.4
20,472.1,209.7,724.1,407.9
