Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,10747.5,10992.6,12192.2,12125.5
2,12305.4,11805.6,14025.6,13897.5
3,12563.4,12111.7,14123.2,14026.6
4,11219.0,12333.2,14258.2,14144.4
5,11862.4,12221.9,14203.3,14069.4
6,12208.6,12153.6,14131.5,14127.6
7,11974.1,11925.0,13234.7,13496.5
8,12143.4,12054.8,13785.7,13764.5
9,12204.5,12210.0,13928.0,13911.7
10,12125.5,12100.7,13774.9,13760.4
