Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,7650.5,7113.8,7886.5,7174.1
2,9141.6,7498.3,9110.6,7913.0
3,9460.2,7461.5,9230.9,7695.1
4,9261.1,7378.2,9209.2,7681.1
5,9228.2,7316.5,9134.7,7645.7
6,9198.9,7237.0,9141.6,7566.7
7,9119.9,6967.6,8574.7,6738.6
8,9045.9,6930.6,8921.1,7333.1
9,9030.4,6850.4,8962.0,7324.9
10,8907.6,6722.1,8999.7,7177.6
11,9217.6,7002.5,9230.6,7617.2
12,9451.1,7231.4,9539.7,7930.3
13,9597.5,7538.8,9697.1,8280.2
14,9688.9,7560.4,9866.8,8395.5
15,9846.5,7936.7,10104.7,8626.5
16,9926.4,8130.4,10287.8,8877.3
17,10021.7,8286.0,10394.8,9059.0
18,10104.7,8376.1,10470.1,9212.1
19,10033.9,8505.7,10492.0,9302.1
20,10023.1,8589.0,10608.1,9495.3
