Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,7650.7,7112.4,7887.2,7177.5
2,7542.6,7107.3,7360.7,7209.1
3,9460.6,7426.8,9231.1,7661.3
4,8858.9,7247.4,8473.8,7701.3
5,9231.8,7372.4,9123.7,7651.3
6,8678.2,7155.5,8621.2,7378.9
7,9129.3,6975.6,8677.6,6843.4
8,8737.2,6948.2,8749.0,7253.1
9,8608.5,6826.3,8527.8,7221.0
10,8509.1,6732.3,8438.8,7247.3
11,8202.6,6577.3,8639.8,7177.2
12,8738.7,6615.1,8727.3,7137.1
13,8503.7,6453.1,8665.1,7141.8
14,8086.6,6427.1,7924.5,6862.7
15,8487.7,6464.7,8687.7,6996.2
16,8423.3,6393.0,8726.2,7001.7
17,8473.4,6254.2,8690.1,6888.6
18,8563.1,6249.3,8632.5,6867.4
19,8190.9,6142.2,8619.5,6791.9
20,8102.8,6117.7,8687.3,6760.8
