Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,7648.4,7116.7,7885.7,7178.3
2,7525.4,7113.0,7122.6,7202.9
3,10102.4,8690.8,10452.3,9295.4
4,9738.3,9170.5,10329.6,9769.6
5,10360.5,8757.9,10627.6,9509.6
6,9927.9,8315.1,10169.6,9060.8
7,10580.9,9458.0,11108.3,10246.1
8,10002.2,9020.4,10487.8,9986.6
9,9891.6,8578.1,10259.7,9364.3
10,9662.1,8380.1,10054.5,9358.8
11,10057.1,8610.7,10447.0,9519.0
12,10100.0,8922.0,10601.2,9653.3
13,10460.9,9145.5,10971.5,9968.6
14,10291.4,8631.6,10689.9,9612.3
15,10264.8,8914.0,10856.6,9871.1
16,9940.0,8675.7,10482.2,9625.1
17,10026.1,8576.1,10467.6,9503.1
18,10079.1,8775.4,10595.4,9662.2
19,9931.4,8701.0,10497.4,9692.4
20,9722.0,8406.3,10424.0,9419.2
21,10239.7,8820.9,10651.7,9722.9
22,9934.7,8686.6,10671.5,9834.6
23,10347.8,9022.3,10878.2,9980.8
24,10169.5,8939.0,10886.6,9979.4
25,10200.2,9138.6,10799.2,10102.1
26,10165.5,8901.3,10767.0,9993.2
27,10225.0,8858.8,10673.6,9812.6
28,10121.8,8757.0,10548.3,9673.8
29,9983.5,8639.8,10509.2,9547.0
30,10009.6,8507.7,10410.9,9411.8
31,10109.8,8647.9,10567.6,9574.0
32,9939.2,8610.9,10431.6,9546.0
33,10106.1,8795.4,10645.7,9700.1
34,10193.1,8841.0,10619.2,9770.8
35,10234.6,8922.2,10776.6,9895.0
36,10164.9,8808.1,10661.7,9743.5
37,10131.5,8703.5,10571.8,9614.0
38,9069.5,8435.9,10178.9,9235.5
39,10029.0,8503.7,10482.3,9369.4
40,9975.0,8413.4,10414.2,9274.8
