Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,1505.5,1484.9,2454.6,2453.9
2,1443.2,1436.3,2172.4,2186.1
3,1418.5,1413.9,2103.7,2124.7
4,1401.7,1392.3,2054.9,2075.2
5,1381.9,1375.2,2020.0,2038.5
6,1366.1,1359.1,1993.0,2003.3
7,1350.9,1346.4,1963.9,1971.6
8,1335.5,1331.7,1936.1,1944.7
9,1314.1,1308.5,1900.2,1902.4
10,1295.1,1291.1,1854.7,1855.9
11,1258.5,1211.6,1689.0,1662.2
12,1220.7,1034.7,1590.3,1515.0
13,1182.4,787.0,1459.6,1351.5
14,1147.0,638.2,1353.1,1216.2
15,1108.4,557.2,1267.5,1123.8
16,1072.6,501.8,1194.8,1049.4
17,1039.2,465.4,1137.5,989.9
18,1013.3,438.4,1094.5,943.2
19,985.5,415.3,1051.6,899.8
20,962.6,394.5,1016.5,865.0
21,974.1,406.1,1034.6,883.7
22,983.8,418.9,1054.3,906.5
23,991.0,430.4,1073.5,925.1
24,999.5,441.0,1084.8,941.4
25,1001.2,451.3,1094.5,953.9
26,1000.7,462.7,1099.1,962.7
27,1002.8,471.4,1109.7,975.1
28,1001.4,480.0,1115.9,985.0
29,1003.2,488.7,1118.5,992.1
30,1003.4,500.0,1121.4,999.7
31,983.5,497.5,1100.9,976.5
32,977.4,489.2,1084.0,955.2
33,969.9,470.8,1063.1,931.5
34,954.5,451.1,1038.0,902.6
35,935.6,436.6,1013.0,877.6
36,921.8,426.1,989.3,852.8
37,911.1,414.9,971.2,832.8
38,898.7,405.2,950.9,813.9
39,890.0,397.7,932.7,797.2
40,874.7,389.3,914.7,779.8
