Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,1509.0,1488.0,2460.0,2459.5
2,1444.4,1435.6,2577.7,2646.5
3,1277.9,1113.4,1697.3,1579.6
4,1181.7,949.8,1572.5,1386.6
5,1201.6,813.0,1467.8,1309.0
6,1213.2,1042.5,1579.4,1445.3
7,1044.9,416.3,1177.7,917.8
8,1095.8,604.3,1267.8,1082.2
9,1101.0,488.9,1261.8,1084.6
10,1121.2,700.2,1312.7,1146.7
11,1073.7,456.7,1166.0,1003.6
12,1033.4,427.0,1114.8,946.5
13,992.3,395.4,1061.4,875.7
14,1022.9,446.2,1113.6,957.6
15,997.2,429.5,1077.1,913.5
16,1014.6,446.3,1093.6,936.9
17,1025.0,464.8,1110.1,949.0
18,974.5,425.0,1034.9,875.4
19,949.7,401.0,991.0,823.6
20,957.6,414.2,989.8,842.2
21,941.5,397.1,974.5,818.7
22,924.4,382.7,963.7,795.2
23,909.4,370.3,953.5,772.2
24,894.5,360.7,941.1,756.6
25,884.4,351.1,932.5,741.5
26,893.8,361.6,941.6,763.7
27,901.7,371.2,949.1,780.3
28,911.9,379.7,955.0,799.5
29,917.9,387.6,958.0,816.8
30,921.7,396.7,969.1,825.9
31,906.5,386.4,949.0,807.3
32,891.6,377.7,934.0,784.0
33,878.1,369.3,920.1,762.2
34,867.3,362.6,905.4,741.8
35,859.0,357.4,891.9,719.6
36,862.4,363.5,896.3,736.4
37,864.3,370.0,900.6,744.5
38,869.5,375.5,904.8,757.2
39,878.2,382.7,908.3,772.7
40,876.6,389.1,915.4,780.4
