Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,1509.0,1488.7,2455.8,2456.5
2,1445.3,1438.6,2177.9,2193.6
3,1421.7,1414.0,2115.2,2138.2
4,1392.9,1386.9,2060.1,2080.0
5,1384.9,1380.5,2026.5,2042.7
6,1368.0,1363.5,1997.8,2010.9
7,1353.4,1348.5,1966.7,1974.7
8,1334.2,1331.3,1935.7,1946.2
9,1318.5,1313.6,1903.0,1905.6
10,1298.8,1294.2,1859.0,1860.0
11,1261.7,1216.1,1701.8,1662.7
12,1222.8,1043.4,1591.1,1518.9
13,1184.6,792.2,1471.2,1349.7
14,1140.9,644.3,1340.8,1214.1
15,1108.9,555.2,1260.5,1121.4
16,1072.2,503.5,1193.6,1051.1
17,1038.9,471.8,1139.9,988.5
18,1011.2,441.5,1088.3,938.2
19,988.8,419.8,1049.7,898.2
20,964.1,398.4,1020.4,864.1
